epoch,epoch_time,lr-AdamW,step,train_loss,val_bits_per_spike,val_loss
,,4.000000000000002e-06,0,,,
0,,,0,0.9368820190429688,,
,,4.000000777091677e-06,1,,,
0,,,1,0.9241047501564026,,
,,4.000003108366675e-06,2,,,
0,,,2,0.9015917778015137,,
,,4.0000069938249145e-06,3,,,
0,,,3,0.883791446685791,,
,,4.000012433466287e-06,4,,,
0,,,4,0.8706259727478027,,
,,4.000019427290603e-06,5,,,
0,,,5,0.8317713141441345,,
,,4.0000279752976315e-06,6,,,
0,,,6,0.8348851799964905,,
,,4.000038077487102e-06,7,,,
0,,,7,0.8214686512947083,,
,,4.000049733858703e-06,8,,,
0,,,8,0.8030301332473755,,
,,4.000062944412028e-06,9,,,
0,,,9,0.7883361577987671,,
,,4.000077709146669e-06,10,,,
0,,,10,0.7618685364723206,,
,,4.00009402806214e-06,11,,,
0,,,11,0.7558007836341858,,
,,4.000111901157925e-06,12,,,
0,,,12,0.7425703406333923,,
,,4.000131328433428e-06,13,,,
0,,,13,0.7112213969230652,,
,,4.000152309888025e-06,14,,,
0,,,14,0.7450018525123596,,
,,4.000174845521039e-06,15,,,
0,,,15,0.7403635382652283,,
,,4.000198935331738e-06,16,,,
0,,,16,0.7331161499023438,,
,,4.00022457931935e-06,17,,,
0,,,17,0.6733794808387756,,
,,4.000251777483034e-06,18,,,
0,,,18,0.7217643857002258,,
,,4.000280529821922e-06,19,,,
0,,,19,0.6808584332466125,,
,,4.000310836335067e-06,20,,,
0,,,20,0.6656330823898315,,
,,4.000342697021506e-06,21,,,
0,,,21,0.6829550862312317,,
,,4.000376111880182e-06,22,,,
0,,,22,0.6520223617553711,,
,,4.000411080910051e-06,23,,,
0,,,23,0.6229223012924194,,
,,4.000447604109934e-06,24,,,
0,,,24,0.655163586139679,,
,,4.00048568147868e-06,25,,,
0,,,25,0.7111979126930237,,
,,4.000525313015068e-06,26,,,
0,,,26,0.6429161429405212,,
,,4.000566498717757e-06,27,,,
0,,,27,0.6592597365379333,,
,,4.000609238585486e-06,28,,,
0,,,28,0.6317263841629028,,
,,4.00065353261682e-06,29,,,
0,,,29,0.6631268858909607,,
,,4.000699380810361e-06,30,,,
0,,,30,0.6624572277069092,,
,,4.0007467831645925e-06,31,,,
0,,,31,0.6249746084213257,,
,,4.000795739677996e-06,32,,,
0,,,32,0.6380437016487122,,
,,4.0008462503489595e-06,33,,,
0,,,33,0.6326404213905334,,
,,4.000898315175897e-06,34,,,
0,,,34,0.6333947777748108,,
,,4.000951934157086e-06,35,,,
0,,,35,0.6036899089813232,,
,,4.0010071072908075e-06,36,,,
0,,,36,0.6342981457710266,,
,,4.001063834575271e-06,37,,,
0,,,37,0.6407226324081421,,
,,4.0011221160086345e-06,38,,,
0,,,38,0.6798218488693237,,
,,4.001181951589027e-06,39,,,
0,,,39,0.6074711084365845,,
,,4.00124334131447e-06,40,,,
0,,,40,0.58965665102005,,
,,4.001306285183025e-06,41,,,
0,,,41,0.6618845462799072,,
,,4.0013707831926195e-06,42,,,
0,,,42,0.5649815797805786,,
,,4.001436835341179e-06,43,,,
0,,,43,0.586839497089386,,
,,4.001504441626577e-06,44,,,
0,,,44,0.6278939247131348,,
,,4.001573602046603e-06,45,,,
0,,,45,0.5927488207817078,,
,,4.001644316599021e-06,46,,,
0,,,46,0.6063164472579956,,
,,4.0017165852815415e-06,47,,,
0,,,47,0.5772345662117004,,
,,4.001790408091847e-06,48,,,
0,,,48,0.5892236828804016,,
,,4.00186578502751e-06,49,,,
0,,,49,0.5612118244171143,,
,,4.001942716086134e-06,50,,,
0,,,50,0.5672499537467957,,
,,4.002021201265197e-06,51,,,
0,,,51,0.5593711137771606,,
,,4.002101240562151e-06,52,,,
0,,,52,0.6052273511886597,,
,,4.002182833974421e-06,53,,,
0,,,53,0.6539708375930786,,
,,4.002265981499378e-06,54,,,
0,,,54,0.5996190905570984,,
,,4.002350683134285e-06,55,,,
0,,,55,0.5270455479621887,,
,,4.002436938876458e-06,56,,,
0,,,56,0.6874862313270569,,
,,4.002524748723064e-06,57,,,
0,,,57,0.538272500038147,,
,,4.002614112671272e-06,58,,,
0,,,58,0.6677083969116211,,
,,4.00270503071818e-06,59,,,
0,,,59,0.6143618822097778,,
,,4.0027975028608486e-06,60,,,
0,,,60,0.6464664936065674,,
,,4.002891529096295e-06,61,,,
0,,,61,0.6648807525634766,,
,,4.0029871094214575e-06,62,,,
0,,,62,0.5471656918525696,,
,,4.003084243833259e-06,63,,,
0,,,63,0.5684153437614441,,
,,4.003182932328542e-06,64,,,
0,,,64,0.7008770704269409,,
,,4.003283174904107e-06,65,,,
0,,,65,0.637190043926239,,
,,4.003384971556717e-06,66,,,
0,,,66,0.6668047904968262,,
,,4.003488322283091e-06,67,,,
0,,,67,0.5241150856018066,,
,,4.003593227079841e-06,68,,,
0,,,68,0.6454739570617676,,
,,4.003699685943606e-06,69,,,
0,,,69,0.6481660604476929,,
,,4.00380769887093e-06,70,,,
0,,,70,0.6400264501571655,,
,,4.0039172658583164e-06,71,,,
0,,,71,0.5984494686126709,,
,,4.0040283869022014e-06,72,,,
0,,,72,0.5995163917541504,,
,,4.00414106199902e-06,73,,,
0,,,73,0.6252706050872803,,
,,4.004255291145087e-06,74,,,
0,,,74,0.6129906177520752,,
,,4.004371074336729e-06,75,,,
